logical,creative,social,leadership,practical,interest_text,field
9,11,14,9,1,I love designing clothes,Fashion Designer
4,15,9,9,7,I want to perform on stage,Singer
8,5,10,4,10,I enjoy storytelling and filmmaking,Film Director
6,10,11,7,10,I like analyzing markets,Economist
5,15,11,4,7,I use video editing software,Video Editor
8,11,9,1,7,I enjoy writing blogs and articles,Content Writer
6,8,11,1,3,I want to act in movies,Actor
1,9,6,5,6,I want to report real world events,Journalist
2,10,6,8,6,I want to understand human behavior,Psychologist
9,15,12,4,7,I like editing videos,Video Editor
5,7,14,9,2,I enjoy vocal music,Singer
9,12,15,9,7,I want to analyze government systems,Political Scientist
4,10,15,8,5,I enjoy composing music,Music Composer
6,13,14,1,2,I want to perform on stage,Singer
1,15,5,8,9,I want to understand human behavior,Psychologist
4,9,14,5,6,I like designing rooms,Interior Designer
10,6,12,5,3,I want to direct movies,Film Director
1,15,10,2,10,I enjoy vocal music,Singer
1,13,14,8,6,I want to work in gaming art,Game Artist
4,11,15,6,9,I enjoy 2D and 3D animation,Animator
10,15,9,1,2,I want to research social problems,Sociologist
5,15,15,3,1,I want to work in gaming art,Game Artist
10,14,7,8,6,I enjoy communication and branding,Public Relations Officer
9,13,13,4,7,I want to design interiors,Interior Designer
1,5,13,6,9,I love creating posters and digital art,Graphic Designer
3,9,7,2,10,I like editing videos,Video Editor
10,14,12,10,4,I want to become a teacher,Teacher
10,7,13,7,5,I enjoy designing mobile app interfaces,UI UX Designer
5,12,7,1,2,I use video editing software,Video Editor
10,14,10,7,4,I want to study economy,Economist
10,13,5,5,4,I want to research past events,Historian
6,8,15,3,1,I like studying emotions,Psychologist
10,12,7,9,9,I like explaining concepts,Teacher
9,6,10,3,8,I like international relations,Political Scientist
9,8,13,1,10,I like writing news articles,Journalist
4,12,10,4,8,I want to direct movies,Film Director
8,9,11,6,6,I want to research social problems,Sociologist
4,9,8,1,1,I want to design interiors,Interior Designer
10,11,14,5,7,I like writing news articles,Journalist
3,10,12,2,5,I enjoy writing blogs and articles,Content Writer
3,14,8,3,3,I want to become a teacher,Teacher
5,5,13,5,4,I like live acting,Theatre Artist
6,13,14,8,1,I like ancient civilizations,Historian
4,12,10,7,1,I want to work in gaming art,Game Artist
5,6,15,3,10,I love camera work,Photographer
10,7,9,2,1,I like improving user experience,UI UX Designer
8,9,12,7,3,I like editing videos,Video Editor
2,6,12,8,3,I use video editing software,Video Editor
8,6,8,2,10,I use video editing software,Video Editor
2,6,12,2,1,I enjoy game visuals,Game Artist
10,12,6,6,1,I want to understand human behavior,Psychologist
2,13,6,3,1,I enjoy home decor,Interior Designer
1,9,13,6,4,I want to do academic research,Professor
1,8,10,8,8,I like singing,Singer
2,10,11,5,5,I enjoy making logos and visual designs,Graphic Designer
6,8,15,8,7,I like live acting,Theatre Artist
3,14,9,9,7,I like writing news articles,Journalist
6,5,14,4,5,I like musical instruments,Music Composer
7,8,7,2,7,I like analyzing markets,Economist
3,6,13,8,2,I like live acting,Theatre Artist
3,7,15,10,1,I want to study economy,Economist
7,15,11,3,7,I enjoy composing music,Music Composer
3,14,9,1,7,I enjoy game visuals,Game Artist
6,8,11,8,7,I want to act in movies,Actor
3,5,9,5,4,I want to become a teacher,Teacher
3,5,6,9,1,I like wireframes and app layouts,UI UX Designer
2,10,9,10,2,I want to design interiors,Interior Designer
7,5,5,3,3,I enjoy financial studies,Economist
4,15,6,8,4,I want to work in digital marketing,Digital Marketer
7,5,12,8,1,I enjoy game visuals,Game Artist
6,8,10,4,7,I like taking creative photos,Photographer
8,10,8,1,1,I love camera work,Photographer
5,11,11,3,10,I enjoy studying society,Sociologist
6,15,7,7,9,I like international relations,Political Scientist
2,9,10,9,6,I enjoy debating and legal cases,Lawyer
8,8,13,4,3,I like performing drama,Actor
2,7,13,10,4,I enjoy making logos and visual designs,Graphic Designer
5,13,6,10,6,I enjoy making logos and visual designs,Graphic Designer
10,6,7,2,2,I like working with animated characters,Animator
5,12,11,7,2,I like storytelling through words,Content Writer
10,8,6,7,1,I like managing public image,Public Relations Officer
3,9,13,1,5,I enjoy acting,Actor
1,14,13,2,1,I enjoy storytelling and filmmaking,Film Director
1,13,14,7,7,I like wireframes and app layouts,UI UX Designer
5,13,6,8,3,I enjoy investigative writing,Journalist
7,6,6,3,4,I enjoy vocal music,Singer
1,15,13,6,5,I want to study law,Lawyer
1,9,8,9,3,I enjoy 2D and 3D animation,Animator
2,11,13,8,7,I enjoy financial studies,Economist
1,9,8,3,4,I enjoy teaching students,Teacher
1,6,7,1,3,I love creating posters and digital art,Graphic Designer
7,8,15,7,4,I want to work in gaming art,Game Artist
1,11,10,5,5,I want to report real world events,Journalist
6,5,8,1,8,I like international relations,Political Scientist
9,10,13,4,2,I like singing,Singer
1,8,9,2,2,I want to direct movies,Film Director
8,7,9,3,9,I enjoy social media marketing,Digital Marketer
2,9,15,8,3,I like taking creative photos,Photographer
3,11,7,6,10,I like singing,Singer
1,9,10,3,1,I want to research social problems,Sociologist
1,9,9,1,5,I enjoy stage performance,Theatre Artist
2,5,7,7,7,I like live acting,Theatre Artist
8,14,8,10,8,I like fine arts,Fine Artist
8,6,11,8,6,I want to act in movies,Actor
2,15,5,5,5,I enjoy vocal music,Singer
7,7,11,8,4,I like using Photoshop and Illustrator,Graphic Designer
5,11,11,8,3,I enjoy nature and portrait photography,Photographer
6,15,9,10,10,I enjoy teaching students,Teacher
6,11,9,1,8,I like musical instruments,Music Composer
3,6,9,5,8,I create melodies,Music Composer
1,5,9,3,1,I want to design interiors,Interior Designer
4,12,13,5,3,I want to direct movies,Film Director
2,15,8,6,5,I want to understand human behavior,Psychologist
1,6,11,4,10,I enjoy communication and branding,Public Relations Officer
1,12,15,6,4,I enjoy fashion trends,Fashion Designer
9,7,5,5,3,I enjoy painting and sketching,Fine Artist
9,8,7,5,5,I want to perform on stage,Singer
8,11,5,10,7,I like taking creative photos,Photographer
9,14,6,2,5,I want to perform on stage,Singer
5,11,8,10,6,I like working with animated characters,Animator
1,12,15,5,4,I want to study law,Lawyer
2,10,6,5,1,I enjoy communication and branding,Public Relations Officer
4,8,7,10,2,I enjoy studying politics,Political Scientist
4,8,14,4,10,I enjoy making reels and short films,Video Editor
7,15,12,3,3,I enjoy studying politics,Political Scientist
7,10,8,9,3,I like taking creative photos,Photographer
5,10,13,2,2,I like using Photoshop and Illustrator,Graphic Designer
4,7,9,6,7,I like editing videos,Video Editor
5,14,9,7,4,I like designing rooms,Interior Designer
4,12,6,2,8,I love theatre arts,Theatre Artist
7,11,15,9,8,I enjoy financial studies,Economist
8,7,12,9,5,I like clothing design,Fashion Designer
3,14,7,6,10,I like taking creative photos,Photographer
5,11,13,2,10,I enjoy vocal music,Singer
5,9,8,2,8,I like online advertising,Digital Marketer
6,6,15,2,8,I like wireframes and app layouts,UI UX Designer
9,10,5,5,9,I love camera work,Photographer
10,12,15,7,3,I like singing,Singer
4,6,15,9,1,I enjoy helping people mentally,Psychologist
3,9,5,4,10,I enjoy financial studies,Economist
5,15,13,9,5,I want to research social problems,Sociologist
3,6,14,3,9,I love making cartoons and animations,Animator
8,12,15,2,1,I enjoy acting,Actor
5,7,11,4,3,I love making cartoons and animations,Animator
3,12,7,9,9,I like designing rooms,Interior Designer
10,9,9,6,10,I like fine arts,Fine Artist
6,7,14,3,9,I love designing clothes,Fashion Designer
2,12,6,9,2,I create melodies,Music Composer
7,14,10,2,9,I like writing news articles,Journalist
9,7,15,6,5,I like explaining concepts,Teacher
9,5,11,6,1,I like studying emotions,Psychologist
7,11,15,4,4,I like fine arts,Fine Artist
10,14,15,5,5,I use video editing software,Video Editor
4,5,13,5,9,I enjoy financial studies,Economist
5,8,8,4,3,I enjoy making reels and short films,Video Editor
8,12,10,4,6,I love camera work,Photographer
3,8,13,5,8,I enjoy painting and sketching,Fine Artist
3,15,11,6,10,I enjoy nature and portrait photography,Photographer
4,10,6,7,10,I like teaching at university,Professor
9,11,13,9,4,I enjoy learning about history,Historian
4,8,12,10,3,I enjoy vocal music,Singer
5,13,12,4,10,I love camera work,Photographer
10,8,15,8,9,I enjoy game visuals,Game Artist
9,12,6,4,9,I like wireframes and app layouts,UI UX Designer
2,14,10,2,4,I like international relations,Political Scientist
8,7,15,10,3,I like writing news articles,Journalist
4,5,15,7,3,I like live acting,Theatre Artist
2,11,10,1,1,I like fine arts,Fine Artist
6,5,8,9,7,I like designing rooms,Interior Designer
2,12,11,5,1,I want to research social problems,Sociologist
9,9,13,6,6,I enjoy nature and portrait photography,Photographer
6,6,15,3,5,I want to study economy,Economist
2,6,14,10,6,I like designing rooms,Interior Designer
10,12,7,7,5,I enjoy 2D and 3D animation,Animator
1,6,11,8,4,I want to report real world events,Journalist
3,5,8,3,8,I enjoy nature and portrait photography,Photographer
7,14,6,10,5,I enjoy nature and portrait photography,Photographer
3,11,12,8,4,I want to design interiors,Interior Designer
3,6,5,8,5,I enjoy home decor,Interior Designer
4,13,5,10,10,I like explaining concepts,Teacher
9,15,13,1,3,I enjoy investigative writing,Journalist
1,13,10,4,4,I like teaching at university,Professor
8,6,11,6,3,I enjoy storytelling and filmmaking,Film Director
1,14,11,9,4,I want to become a teacher,Teacher
5,14,9,3,8,I want to research past events,Historian
9,5,15,2,8,I like ancient civilizations,Historian
3,14,11,6,1,I like clothing design,Fashion Designer
8,8,15,6,5,I enjoy debating and legal cases,Lawyer
5,15,13,4,2,I like singing,Singer
8,15,7,10,7,I enjoy social media marketing,Digital Marketer
3,7,5,8,8,I like performing drama,Actor
10,9,12,4,7,I like live acting,Theatre Artist
3,6,13,2,5,I enjoy studying politics,Political Scientist
10,13,5,7,6,I like studying emotions,Psychologist
1,9,10,1,8,I like ancient civilizations,Historian
6,14,14,6,5,I enjoy teaching students,Teacher
7,12,11,4,9,I like writing news articles,Journalist
3,14,15,6,9,I enjoy painting and sketching,Fine Artist
7,12,5,9,9,I want to analyze government systems,Political Scientist
8,5,12,10,2,I love designing clothes,Fashion Designer
5,9,12,2,8,I want to understand human behavior,Psychologist
10,13,14,6,4,I like designing game characters,Game Artist
7,12,14,7,2,I enjoy fashion trends,Fashion Designer
1,9,7,10,4,I like handling media,Public Relations Officer
9,12,13,8,8,I like designing game characters,Game Artist
2,10,13,4,2,I enjoy painting and sketching,Fine Artist
2,15,6,3,8,I want to design interiors,Interior Designer
1,12,12,7,7,I want to work in digital marketing,Digital Marketer
2,11,13,4,6,I enjoy studying politics,Political Scientist
5,7,7,10,4,I enjoy acting,Actor
5,8,5,4,4,I want to work in digital marketing,Digital Marketer
1,10,10,5,7,I like handling media,Public Relations Officer
10,10,12,1,1,I enjoy studying politics,Political Scientist
8,8,7,2,7,I like online advertising,Digital Marketer
2,14,15,2,4,I want to research past events,Historian
4,11,11,6,5,I like taking creative photos,Photographer
10,12,15,7,10,I enjoy studying society,Sociologist
2,8,15,9,2,I want to report real world events,Journalist
1,10,11,2,7,I want to understand human behavior,Psychologist
8,6,11,8,10,I want to be a writer,Content Writer
9,5,14,8,8,I love theatre arts,Theatre Artist
10,10,10,10,8,I want to work in digital marketing,Digital Marketer
5,6,11,7,10,I enjoy nature and portrait photography,Photographer
4,11,12,3,4,I like designing rooms,Interior Designer
1,14,13,5,3,I like fine arts,Fine Artist
3,9,14,4,6,I like understanding human groups,Sociologist
9,12,7,1,6,I want to research social problems,Sociologist
3,15,5,8,5,I enjoy painting and sketching,Fine Artist
4,14,5,1,7,I like international relations,Political Scientist
1,15,6,2,5,I enjoy studying society,Sociologist
9,13,11,7,6,I like analyzing markets,Economist
4,8,9,2,4,I like online advertising,Digital Marketer
10,9,14,8,10,I want to do academic research,Professor
1,6,6,4,3,I like musical instruments,Music Composer
2,8,11,8,10,I love creating posters and digital art,Graphic Designer
7,6,10,2,3,I enjoy communication and branding,Public Relations Officer
2,13,5,8,5,I like explaining concepts,Teacher
5,10,5,9,8,I like studying emotions,Psychologist
8,11,14,10,3,I enjoy painting and sketching,Fine Artist
1,10,11,4,1,I want to research social problems,Sociologist
8,15,12,2,4,I enjoy studying politics,Political Scientist
1,12,6,8,9,I like live acting,Theatre Artist
2,6,14,9,6,I enjoy studying society,Sociologist
9,9,8,10,5,I like performing drama,Actor
5,11,14,1,8,I want to design interiors,Interior Designer
8,5,15,3,8,I want to report real world events,Journalist
1,8,10,2,3,I enjoy home decor,Interior Designer
7,10,6,10,8,I enjoy acting,Actor
4,14,7,2,1,I enjoy fashion trends,Fashion Designer
6,14,13,10,8,I like analyzing markets,Economist
10,12,8,1,1,I create melodies,Music Composer
9,15,14,8,1,I want to act in movies,Actor
8,6,15,5,8,I want to work in digital marketing,Digital Marketer
6,6,9,7,8,I enjoy home decor,Interior Designer
8,12,14,2,7,I want to become a teacher,Teacher
7,5,5,8,4,I enjoy writing blogs and articles,Content Writer
7,11,10,3,2,I enjoy home decor,Interior Designer
9,6,15,10,1,I want to become a teacher,Teacher
6,9,10,2,2,I love traditional art,Fine Artist
4,15,12,9,4,I like handling media,Public Relations Officer
9,5,9,3,5,I like clothing design,Fashion Designer
6,9,6,1,3,I like clothing design,Fashion Designer
9,12,9,3,6,I enjoy vocal music,Singer
5,14,14,7,4,I enjoy social media marketing,Digital Marketer
7,9,7,9,1,I like international relations,Political Scientist
8,11,15,9,10,I like performing drama,Actor
9,8,6,4,9,I use video editing software,Video Editor
1,10,14,4,8,I like fine arts,Fine Artist
2,11,12,3,9,I like musical instruments,Music Composer
6,9,7,3,2,I like writing news articles,Journalist
1,11,10,8,5,I want to research social problems,Sociologist
10,15,14,7,6,I like handling media,Public Relations Officer
9,13,8,8,10,I enjoy studying society,Sociologist
4,13,15,8,4,I want to direct movies,Film Director
10,6,8,9,7,I enjoy acting,Actor
5,6,15,3,8,I like editing videos,Video Editor
3,10,10,10,1,I like musical instruments,Music Composer
6,9,8,3,5,I enjoy writing blogs and articles,Content Writer
8,8,7,9,2,I like understanding human groups,Sociologist
3,5,8,9,1,I want to study law,Lawyer
9,7,10,3,2,I like handling media,Public Relations Officer
9,14,9,10,5,I enjoy studying politics,Political Scientist
6,7,7,9,9,I like improving user experience,UI UX Designer
4,13,8,5,8,I want to analyze government systems,Political Scientist
2,6,9,7,7,I enjoy making logos and visual designs,Graphic Designer
5,5,9,6,3,I enjoy game visuals,Game Artist
1,13,8,5,7,I enjoy storytelling and filmmaking,Film Director
3,6,14,6,2,I enjoy painting and sketching,Fine Artist
7,12,11,4,5,I like improving user experience,UI UX Designer
10,8,5,4,2,I enjoy studying society,Sociologist
5,10,14,2,2,I like taking creative photos,Photographer
7,6,8,7,3,I want to design interiors,Interior Designer
4,10,6,10,6,I want to research past events,Historian
7,8,12,2,5,I enjoy higher education,Professor
8,5,9,6,7,I like explaining concepts,Teacher
10,15,10,9,7,I create melodies,Music Composer
9,7,5,1,9,I like teaching at university,Professor
3,6,8,10,10,I enjoy learning about history,Historian
8,14,6,1,8,I enjoy social media marketing,Digital Marketer
2,5,12,5,9,I enjoy home decor,Interior Designer
1,7,6,8,3,I enjoy fashion trends,Fashion Designer
5,5,12,2,5,I love camera work,Photographer
3,11,6,3,9,I like editing videos,Video Editor
5,12,8,9,2,I want to report real world events,Journalist
5,8,14,8,4,I love making cartoons and animations,Animator
7,12,13,10,8,I like musical instruments,Music Composer
6,11,13,1,1,I love creating posters and digital art,Graphic Designer
3,12,11,8,7,I like improving user experience,UI UX Designer
8,6,14,9,10,I like writing news articles,Journalist
5,12,14,10,3,I like ancient civilizations,Historian
5,5,6,8,8,I want to perform on stage,Singer
3,15,15,4,2,I like designing rooms,Interior Designer
2,6,10,6,8,I want to understand human behavior,Psychologist
2,10,6,8,8,I want to perform on stage,Singer
7,14,7,9,1,I enjoy 2D and 3D animation,Animator
10,7,15,5,1,I like designing rooms,Interior Designer
10,9,12,1,8,I enjoy making reels and short films,Video Editor
4,15,9,10,8,I enjoy storytelling and filmmaking,Film Director
4,5,13,1,3,I want to work in gaming art,Game Artist
3,15,14,5,1,I enjoy making reels and short films,Video Editor
5,5,14,4,7,I like ancient civilizations,Historian
1,9,13,7,2,I enjoy higher education,Professor
3,15,12,4,4,I enjoy financial studies,Economist
5,13,9,4,5,I enjoy acting,Actor
5,10,13,4,3,I love designing clothes,Fashion Designer
8,6,12,2,7,I want to study economy,Economist
6,13,5,10,4,I enjoy making reels and short films,Video Editor
9,12,13,1,10,I want to act in movies,Actor
5,7,12,9,4,I want to design interiors,Interior Designer
7,6,9,8,4,I enjoy making reels and short films,Video Editor
6,12,13,6,10,I like working with animated characters,Animator
8,7,10,5,1,I enjoy fashion trends,Fashion Designer
5,12,12,1,1,I enjoy financial studies,Economist
9,13,14,3,8,I enjoy debating and legal cases,Lawyer
5,10,5,5,4,I like managing film shoots,Film Director
7,9,15,5,9,I like ancient civilizations,Historian
1,9,12,7,9,I like international relations,Political Scientist
4,12,7,7,7,I want to be a writer,Content Writer
9,6,10,9,1,I enjoy home decor,Interior Designer
2,14,6,9,10,I like studying emotions,Psychologist
3,8,7,7,7,I want to work in gaming art,Game Artist
8,6,8,10,10,I enjoy learning about history,Historian
3,7,15,2,2,I like international relations,Political Scientist
1,15,13,2,8,I like studying emotions,Psychologist
5,13,6,2,6,I enjoy studying politics,Political Scientist
7,12,5,8,10,I enjoy studying society,Sociologist
2,8,7,5,3,I enjoy studying politics,Political Scientist
1,6,15,2,7,I like managing public image,Public Relations Officer
2,5,12,9,7,I want to be a writer,Content Writer
2,8,5,1,5,I enjoy 2D and 3D animation,Animator
2,14,9,7,9,I like studying emotions,Psychologist
8,7,13,7,9,I like managing public image,Public Relations Officer
9,9,5,8,6,I enjoy financial studies,Economist
10,6,15,1,3,I enjoy helping people mentally,Psychologist
9,11,10,7,10,I want to study economy,Economist
6,9,12,5,4,I enjoy social media marketing,Digital Marketer
10,14,6,8,3,I like improving user experience,UI UX Designer
8,15,9,2,9,I enjoy communication and branding,Public Relations Officer
9,13,6,4,5,I enjoy writing blogs and articles,Content Writer
3,10,11,1,9,I want to design interiors,Interior Designer
7,5,8,9,7,I want to study economy,Economist
4,11,10,3,9,I like managing film shoots,Film Director
5,12,6,10,5,I enjoy 2D and 3D animation,Animator
4,12,13,10,8,I like improving user experience,UI UX Designer
6,8,12,9,3,I like explaining concepts,Teacher
6,7,15,5,5,I love theatre arts,Theatre Artist
6,10,6,7,9,I like taking creative photos,Photographer
7,6,15,2,2,I like ancient civilizations,Historian
6,6,6,10,9,I love traditional art,Fine Artist
5,13,12,6,4,I like singing,Singer
10,9,10,1,6,I enjoy composing music,Music Composer
3,8,13,3,6,I enjoy debating and legal cases,Lawyer
6,7,12,10,5,I enjoy social media marketing,Digital Marketer
2,14,14,7,6,I love creating posters and digital art,Graphic Designer
10,11,8,8,10,I like teaching at university,Professor
1,10,6,4,8,I like handling media,Public Relations Officer
3,6,14,8,8,I like managing public image,Public Relations Officer
8,11,8,8,3,I want to study economy,Economist
10,5,8,8,7,I enjoy studying politics,Political Scientist
6,8,5,7,9,I enjoy home decor,Interior Designer
9,6,9,8,2,I like improving user experience,UI UX Designer
2,6,13,7,2,I enjoy financial studies,Economist
7,11,9,5,7,I enjoy investigative writing,Journalist
7,5,9,1,10,I want to study economy,Economist
2,8,6,8,3,I like international relations,Political Scientist
7,13,12,9,4,I like designing game characters,Game Artist
10,6,8,1,4,I use video editing software,Video Editor
10,8,14,10,6,I enjoy vocal music,Singer
1,12,15,8,4,I enjoy composing music,Music Composer
8,10,8,1,9,I want to work in digital marketing,Digital Marketer
5,14,9,5,8,I like live acting,Theatre Artist
5,5,14,8,7,I want to analyze government systems,Political Scientist
4,15,12,8,4,I enjoy storytelling and filmmaking,Film Director
3,9,12,7,2,I like writing news articles,Journalist
3,13,8,9,7,I enjoy composing music,Music Composer
1,13,10,7,9,I enjoy higher education,Professor
